Programa,Threads,Tamaño Matriz,Tiempo,Iteracion
mmPosix,32,512,22600,2
matrizFxC,32,1024,221317,2
matrizFxT,32,1024,104167,2
mmPosix,32,1024,234350,2
matrizFxC,1,64,630,3
matrizFxT,1,64,580,3
mmPosix,1,64,1337,3
matrizFxC,1,128,4066,3
matrizFxT,1,128,3947,3
mmPosix,1,128,5063,3
matrizFxC,1,256,32707,3
matrizFxT,1,256,33045,3
mmPosix,1,256,38632,3
matrizFxC,1,512,418180,3
matrizFxT,1,512,273397,3
mmPosix,1,512,440988,3
matrizFxC,1,1024,5268103,3
matrizFxT,1,1024,2232523,3
mmPosix,1,1024,5257923,3
matrizFxC,2,64,385,3
matrizFxT,2,64,540,3
mmPosix,2,64,933,3
matrizFxC,2,128,2454,3
matrizFxT,2,128,2209,3
mmPosix,2,128,2987,3
matrizFxC,2,256,16938,3
matrizFxT,2,256,17337,3
mmPosix,2,256,19582,3
matrizFxC,2,512,233635,3
matrizFxT,2,512,140296,3
mmPosix,2,512,214021,3
matrizFxC,2,1024,2734733,3
matrizFxT,2,1024,1138437,3
mmPosix,2,1024,2741732,3
matrizFxC,4,64,385,3
matrizFxT,4,64,412,3
mmPosix,4,64,1185,3
matrizFxC,4,128,1545,3
matrizFxT,4,128,1336,3
mmPosix,4,128,1842,3
matrizFxC,4,256,9140,3
matrizFxT,4,256,9655,3
mmPosix,4,256,10370,3
matrizFxC,4,512,101713,3
matrizFxT,4,512,70499,3
mmPosix,4,512,103746,3
matrizFxC,4,1024,1370865,3
matrizFxT,4,1024,578643,3
mmPosix,4,1024,1389154,3
matrizFxC,8,64,452,3
matrizFxT,8,64,424,3
mmPosix,8,64,608,3
matrizFxC,8,128,1072,3
matrizFxT,8,128,872,3
mmPosix,8,128,1107,3
matrizFxC,8,256,4975,3
matrizFxT,8,256,4870,3
mmPosix,8,256,5465,3
matrizFxC,8,512,51582,3
matrizFxT,8,512,36959,3
mmPosix,8,512,54034,3
matrizFxC,8,1024,626886,3
matrizFxT,8,1024,301452,3
mmPosix,8,1024,708352,3
matrizFxC,16,64,475,3
matrizFxT,16,64,501,3
mmPosix,16,64,631,3
matrizFxC,16,128,774,3
matrizFxT,16,128,642,3
mmPosix,16,128,848,3
matrizFxC,16,256,2899,3
matrizFxT,16,256,2708,3
mmPosix,16,256,3099,3
matrizFxC,16,512,27143,3
