Programa,Threads,Tamaño Matriz,Tiempo,Iteracion
matrizFxT,16,256,2718,10
mmPosix,16,256,3128,10
matrizFxC,16,512,27457,10
matrizFxT,16,512,19656,10
mmPosix,16,512,27566,10
matrizFxC,16,1024,357738,10
matrizFxT,16,1024,158506,10
mmPosix,16,1024,360272,10
matrizFxC,32,64,681,10
matrizFxT,32,64,662,10
mmPosix,32,64,998,10
matrizFxC,32,128,896,10
matrizFxT,32,128,889,10
mmPosix,32,128,1208,10
matrizFxC,32,256,2898,10
matrizFxT,32,256,2298,10
mmPosix,32,256,2727,10
matrizFxC,32,512,25914,10
matrizFxT,32,512,13622,10
mmPosix,32,512,23936,10
matrizFxC,32,1024,252601,10
matrizFxT,32,1024,102962,10
mmPosix,32,1024,245176,10
matrizFxC,1,64,553,11
matrizFxT,1,64,549,11
mmPosix,1,64,1133,11
matrizFxC,1,128,4204,11
matrizFxT,1,128,3854,11
mmPosix,1,128,5296,11
matrizFxC,1,256,32902,11
matrizFxT,1,256,32648,11
mmPosix,1,256,37964,11
matrizFxC,1,512,408350,11
matrizFxT,1,512,270368,11
mmPosix,1,512,405573,11
matrizFxC,1,1024,5594875,11
matrizFxT,1,1024,2223725,11
mmPosix,1,1024,5686211,11
matrizFxC,2,64,500,11
matrizFxT,2,64,521,11
mmPosix,2,64,563,11
matrizFxC,2,128,2430,11
matrizFxT,2,128,2242,11
mmPosix,2,128,3083,11
matrizFxC,2,256,16727,11
matrizFxT,2,256,16694,11
mmPosix,2,256,19474,11
matrizFxC,2,512,198786,11
matrizFxT,2,512,137860,11
mmPosix,2,512,198970,11
matrizFxC,2,1024,2752118,11
matrizFxT,2,1024,1112897,11
mmPosix,2,1024,2766052,11
matrizFxC,4,64,343,11
matrizFxT,4,64,420,11
mmPosix,4,64,1078,11
matrizFxC,4,128,1391,11
matrizFxT,4,128,1456,11
mmPosix,4,128,1589,11
matrizFxC,4,256,8802,11
matrizFxT,4,256,8984,11
mmPosix,4,256,10794,11
matrizFxC,4,512,98908,11
matrizFxT,4,512,70827,11
mmPosix,4,512,109187,11
matrizFxC,4,1024,1384853,11
matrizFxT,4,1024,592542,11
mmPosix,4,1024,1395613,11
matrizFxC,8,64,410,11
matrizFxT,8,64,396,11
mmPosix,8,64,1284,11
matrizFxC,8,128,818,11
matrizFxT,8,128,1008,11
mmPosix,8,128,1137,11
matrizFxC,8,256,4765,11
matrizFxT,8,256,4721,11
mmPosix,8,256,6619,11
matrizFxC,8,512,51332,11
matrizFxT,8,512,37216,11
mmPosix,8,512,50946,11
matrizFxC,8,1024,694630,11
matrizFxT,8,1024,301890,11
mmPosix,8,1024,635029,11
matrizFxC,16,64,610,11
matrizFxT,16,64,425,11
mmPosix,16,64,745,11
matrizFxC,16,128,721,11
matrizFxT,16,128,716,11
mmPosix,16,128,888,11
matrizFxC,16,256,2926,11
matrizFxT,16,256,2854,11
mmPosix,16,256,3222,11
matrizFxC,16,512,26919,11
matrizFxT,16,512,19958,11
mmPosix,16,512,28577,11
matrizFxC,16,1024,325632,11
matrizFxT,16,1024,158878,11
mmPosix,16,1024,352746,11
matrizFxC,32,64,672,11
matrizFxT,32,64,618,11
mmPosix,32,64,1021,11
matrizFxC,32,128,880,11
matrizFxT,32,128,865,11
mmPosix,32,128,1177,11
matrizFxC,32,256,2640,11
matrizFxT,32,256,2308,11
mmPosix,32,256,2778,11
matrizFxC,32,512,23530,11
matrizFxT,32,512,13578,11
mmPosix,32,512,23959,11
matrizFxC,32,1024,257507,11
matrizFxT,32,1024,103034,11
mmPosix,32,1024,258438,11
matrizFxC,1,64,552,12
matrizFxT,1,64,558,12
mmPosix,1,64,1106,12
matrizFxC,1,128,4122,12
matrizFxT,1,128,3931,12
mmPosix,1,128,5093,12
matrizFxC,1,256,32646,12
matrizFxT,1,256,32880,12
mmPosix,1,256,37904,12
matrizFxC,1,512,419574,12
matrizFxT,1,512,272247,12
mmPosix,1,512,416527,12
matrizFxC,1,1024,5601654,12
matrizFxT,1,1024,2222423,12
mmPosix,1,1024,5387647,12
matrizFxC,2,64,442,12
matrizFxT,2,64,507,12
mmPosix,2,64,1003,12
matrizFxC,2,128,2350,12
matrizFxT,2,128,2011,12
mmPosix,2,128,2901,12
matrizFxC,2,256,16656,12
matrizFxT,2,256,17198,12
mmPosix,2,256,19689,12
matrizFxC,2,512,212669,12
matrizFxT,2,512,139266,12
mmPosix,2,512,202198,12
matrizFxC,2,1024,2750576,12
matrizFxT,2,1024,1123402,12
mmPosix,2,1024,2790293,12
matrizFxC,4,64,392,12
matrizFxT,4,64,386,12
mmPosix,4,64,1011,12
matrizFxC,4,128,1509,12
matrizFxT,4,128,1305,12
mmPosix,4,128,1935,12
matrizFxC,4,256,8797,12
matrizFxT,4,256,9084,12
mmPosix,4,256,10541,12
matrizFxC,4,512,99248,12
matrizFxT,4,512,71163,12
mmPosix,4,512,102072,12
matrizFxC,4,1024,1370214,12
matrizFxT,4,1024,576472,12
mmPosix,4,1024,1398185,12
matrizFxC,8,64,415,12
matrizFxT,8,64,427,12
mmPosix,8,64,610,12
matrizFxC,8,128,894,12
matrizFxT,8,128,792,12
mmPosix,8,128,1049,12
matrizFxC,8,256,4873,12
matrizFxT,8,256,4816,12
mmPosix,8,256,5408,12
matrizFxC,8,512,51019,12
matrizFxT,8,512,38248,12
mmPosix,8,512,53740,12
matrizFxC,8,1024,702379,12
matrizFxT,8,1024,303633,12
mmPosix,8,1024,703263,12
matrizFxC,16,64,514,12
matrizFxT,16,64,467,12
mmPosix,16,64,583,12
matrizFxC,16,128,717,12
matrizFxT,16,128,615,12
mmPosix,16,128,825,12
matrizFxC,16,256,2929,12
matrizFxT,16,256,2684,12
mmPosix,16,256,3031,12
matrizFxC,16,512,27605,12
matrizFxT,16,512,19633,12
mmPosix,16,512,27407,12
matrizFxC,16,1024,359014,12
matrizFxT,16,1024,159021,12
mmPosix,16,1024,335528,12
matrizFxC,32,64,675,12
matrizFxT,32,64,611,12
mmPosix,32,64,1056,12
matrizFxC,32,128,909,12
matrizFxT,32,128,878,12
mmPosix,32,128,1194,12
matrizFxC,32,256,2718,12
matrizFxT,32,256,2274,12
mmPosix,32,256,2779,12
matrizFxC,32,512,23412,12
matrizFxT,32,512,13891,12
mmPosix,32,512,24990,12
matrizFxC,32,1024,237864,12
matrizFxT,32,1024,102894,12
mmPosix,32,1024,262365,12
matrizFxC,1,64,574,13
matrizFxT,1,64,580,13
mmPosix,1,64,1135,13
matrizFxC,1,128,4112,13
matrizFxT,1,128,3946,13
mmPosix,1,128,5208,13
matrizFxC,1,256,32504,13
matrizFxT,1,256,32944,13
mmPosix,1,256,38252,13
matrizFxC,1,512,434352,13
matrizFxT,1,512,273224,13
mmPosix,1,512,414711,13
matrizFxC,1,1024,5382420,13
matrizFxT,1,1024,2231736,13
mmPosix,1,1024,5418677,13
matrizFxC,2,64,434,13
matrizFxT,2,64,530,13
mmPosix,2,64,798,13
matrizFxC,2,128,2419,13
matrizFxT,2,128,2266,13
mmPosix,2,128,2711,13
matrizFxC,2,256,16967,13
matrizFxT,2,256,16841,13
mmPosix,2,256,19566,13
matrizFxC,2,512,202835,13
matrizFxT,2,512,137786,13
mmPosix,2,512,204387,13
matrizFxC,2,1024,2760859,13
matrizFxT,2,1024,1116987,13
mmPosix,2,1024,2753032,13
matrizFxC,4,64,408,13
matrizFxT,4,64,477,13
mmPosix,4,64,1203,13
matrizFxC,4,128,1412,13
matrizFxT,4,128,1438,13
mmPosix,4,128,1905,13
matrizFxC,4,256,9016,13
matrizFxT,4,256,8784,13
mmPosix,4,256,10604,13
matrizFxC,4,512,109141,13
matrizFxT,4,512,70968,13
mmPosix,4,512,102815,13
matrizFxC,4,1024,1392365,13
matrizFxT,4,1024,578406,13
mmPosix,4,1024,1397390,13
matrizFxC,8,64,411,13
matrizFxT,8,64,313,13
mmPosix,8,64,500,13
matrizFxC,8,128,763,13
matrizFxT,8,128,872,13
mmPosix,8,128,1011,13
matrizFxC,8,256,4748,13
matrizFxT,8,256,4853,13
mmPosix,8,256,5505,13
matrizFxC,8,512,51501,13
matrizFxT,8,512,37424,13
mmPosix,8,512,51684,13
matrizFxC,8,1024,702897,13
matrizFxT,8,1024,301881,13
mmPosix,8,1024,708180,13
matrizFxC,16,64,548,13
matrizFxT,16,64,457,13
mmPosix,16,64,592,13
matrizFxC,16,128,717,13
matrizFxT,16,128,737,13
mmPosix,16,128,763,13
matrizFxC,16,256,2677,13
matrizFxT,16,256,2749,13
mmPosix,16,256,3043,13
matrizFxC,16,512,29720,13
matrizFxT,16,512,19571,13
mmPosix,16,512,27436,13
matrizFxC,16,1024,353604,13
matrizFxT,16,1024,158692,13
mmPosix,16,1024,325472,13
matrizFxC,32,64,690,13
matrizFxT,32,64,635,13
mmPosix,32,64,995,13
matrizFxC,32,128,873,13
matrizFxT,32,128,853,13
mmPosix,32,128,1214,13
matrizFxC,32,256,2746,13
matrizFxT,32,256,2348,13
mmPosix,32,256,2721,13
matrizFxC,32,512,23654,13
matrizFxT,32,512,13736,13
mmPosix,32,512,24566,13
matrizFxC,32,1024,219123,13
matrizFxT,32,1024,103212,13
mmPosix,32,1024,241397,13
matrizFxC,1,64,553,14
matrizFxT,1,64,553,14
mmPosix,1,64,1027,14
matrizFxC,1,128,4182,14
matrizFxT,1,128,3889,14
mmPosix,1,128,5073,14
matrizFxC,1,256,32406,14
matrizFxT,1,256,32862,14
mmPosix,1,256,37965,14
matrizFxC,1,512,463663,14
matrizFxT,1,512,271169,14
mmPosix,1,512,406883,14
matrizFxC,1,1024,5481800,14
matrizFxT,1,1024,2216957,14
mmPosix,1,1024,5289821,14
matrizFxC,2,64,410,14
matrizFxT,2,64,509,14
mmPosix,2,64,1047,14
matrizFxC,2,128,2328,14
matrizFxT,2,128,2020,14
mmPosix,2,128,2690,14
matrizFxC,2,256,17123,14
matrizFxT,2,256,17153,14
mmPosix,2,256,19778,14
matrizFxC,2,512,204604,14
matrizFxT,2,512,138646,14
mmPosix,2,512,209580,14
matrizFxC,2,1024,2757268,14
matrizFxT,2,1024,1125200,14
mmPosix,2,1024,2486639,14
matrizFxC,4,64,488,14
matrizFxT,4,64,456,14
mmPosix,4,64,434,14
matrizFxC,4,128,1212,14
matrizFxT,4,128,1339,14
mmPosix,4,128,1956,14
matrizFxC,4,256,9065,14
matrizFxT,4,256,9252,14
mmPosix,4,256,10234,14
matrizFxC,4,512,145364,14
matrizFxT,4,512,70417,14
mmPosix,4,512,103495,14
matrizFxC,4,1024,1341438,14
matrizFxT,4,1024,572201,14
mmPosix,4,1024,1361005,14
matrizFxC,8,64,443,14
matrizFxT,8,64,385,14
mmPosix,8,64,435,14
matrizFxC,8,128,814,14
matrizFxT,8,128,727,14
mmPosix,8,128,1058,14
matrizFxC,8,256,4832,14
matrizFxT,8,256,4779,14
mmPosix,8,256,5571,14
matrizFxC,8,512,52472,14
matrizFxT,8,512,38183,14
mmPosix,8,512,53584,14
matrizFxC,8,1024,699948,14
matrizFxT,8,1024,305458,14
mmPosix,8,1024,655627,14
matrizFxC,16,64,455,14
matrizFxT,16,64,502,14
mmPosix,16,64,669,14
matrizFxC,16,128,615,14
matrizFxT,16,128,638,14
mmPosix,16,128,1049,14
matrizFxC,16,256,2824,14
matrizFxT,16,256,2962,14
mmPosix,16,256,3140,14
matrizFxC,16,512,45428,14
matrizFxT,16,512,19575,14
mmPosix,16,512,27827,14
matrizFxC,16,1024,347415,14
matrizFxT,16,1024,157794,14
mmPosix,16,1024,352736,14
matrizFxC,32,64,701,14
matrizFxT,32,64,665,14
mmPosix,32,64,1048,14
matrizFxC,32,128,905,14
matrizFxT,32,128,868,14
mmPosix,32,128,1209,14
matrizFxC,32,256,2699,14
matrizFxT,32,256,2286,14
mmPosix,32,256,2744,14
matrizFxC,32,512,23824,14
matrizFxT,32,512,13587,14
mmPosix,32,512,23704,14
matrizFxC,32,1024,272131,14
matrizFxT,32,1024,103090,14
mmPosix,32,1024,221061,14
matrizFxC,1,64,604,15
matrizFxT,1,64,566,15
mmPosix,1,64,1119,15
matrizFxC,1,128,4183,15
matrizFxT,1,128,4100,15
mmPosix,1,128,5412,15
matrizFxC,1,256,42758,15
matrizFxT,1,256,32760,15
mmPosix,1,256,38401,15
matrizFxC,1,512,513378,15
matrizFxT,1,512,272488,15
mmPosix,1,512,467607,15
matrizFxC,1,1024,5286531,15
matrizFxT,1,1024,2218999,15
mmPosix,1,1024,5537003,15
matrizFxC,2,64,513,15
matrizFxT,2,64,474,15
mmPosix,2,64,902,15
matrizFxC,2,128,2497,15
matrizFxT,2,128,2218,15
mmPosix,2,128,2626,15
matrizFxC,2,256,17010,15
matrizFxT,2,256,16933,15
mmPosix,2,256,19409,15
matrizFxC,2,512,233199,15
matrizFxT,2,512,137389,15
mmPosix,2,512,222492,15
matrizFxC,2,1024,2698341,15
matrizFxT,2,1024,1115171,15
mmPosix,2,1024,2786090,15
matrizFxC,4,64,362,15
matrizFxT,4,64,360,15
mmPosix,4,64,786,15
matrizFxC,4,128,1373,15
matrizFxT,4,128,1414,15
mmPosix,4,128,1615,15
matrizFxC,4,256,8730,15
matrizFxT,4,256,8726,15
mmPosix,4,256,10243,15
matrizFxC,4,512,104801,15
matrizFxT,4,512,69639,15
mmPosix,4,512,114763,15
matrizFxC,4,1024,1376275,15
matrizFxT,4,1024,568588,15
mmPosix,4,1024,1258345,15
matrizFxC,8,64,393,15
matrizFxT,8,64,400,15
mmPosix,8,64,756,15
matrizFxC,8,128,847,15
matrizFxT,8,128,933,15
mmPosix,8,128,1097,15
matrizFxC,8,256,4893,15
matrizFxT,8,256,4817,15
mmPosix,8,256,5583,15
matrizFxC,8,512,53500,15
matrizFxT,8,512,37987,15
mmPosix,8,512,55089,15
matrizFxC,8,1024,706032,15
matrizFxT,8,1024,304223,15
mmPosix,8,1024,703157,15
matrizFxC,16,64,452,15
matrizFxT,16,64,542,15
mmPosix,16,64,702,15
matrizFxC,16,128,839,15
matrizFxT,16,128,628,15
mmPosix,16,128,786,15
matrizFxC,16,256,2810,15
matrizFxT,16,256,2806,15
mmPosix,16,256,3026,15
matrizFxC,16,512,27840,15
matrizFxT,16,512,19996,15
mmPosix,16,512,28448,15
matrizFxC,16,1024,340040,15
matrizFxT,16,1024,158224,15
mmPosix,16,1024,348625,15
matrizFxC,32,64,677,15
matrizFxT,32,64,664,15
mmPosix,32,64,1040,15
matrizFxC,32,128,912,15
matrizFxT,32,128,850,15
mmPosix,32,128,1194,15
matrizFxC,32,256,2777,15
matrizFxT,32,256,2356,15
mmPosix,32,256,2763,15
matrizFxC,32,512,25014,15
matrizFxT,32,512,13720,15
mmPosix,32,512,24068,15
matrizFxC,32,1024,279332,15
matrizFxT,32,1024,102377,15
mmPosix,32,1024,230981,15
matrizFxC,1,64,566,16
matrizFxT,1,64,584,16
mmPosix,1,64,1231,16
matrizFxC,1,128,4156,16
matrizFxT,1,128,3916,16
mmPosix,1,128,5192,16
matrizFxC,1,256,32452,16
matrizFxT,1,256,32708,16
mmPosix,1,256,37909,16
matrizFxC,1,512,459371,16
matrizFxT,1,512,272270,16
mmPosix,1,512,438828,16
matrizFxC,1,1024,5583019,16
matrizFxT,1,1024,2214996,16
mmPosix,1,1024,5114791,16
matrizFxC,2,64,537,16
matrizFxT,2,64,557,16
mmPosix,2,64,1073,16
matrizFxC,2,128,2109,16
matrizFxT,2,128,2206,16
mmPosix,2,128,3083,16
matrizFxC,2,256,16747,16
matrizFxT,2,256,17153,16
mmPosix,2,256,19880,16
matrizFxC,2,512,201600,16
matrizFxT,2,512,136663,16
mmPosix,2,512,207922,16
matrizFxC,2,1024,2726088,16
matrizFxT,2,1024,1114110,16
mmPosix,2,1024,2665979,16
matrizFxC,4,64,455,16
matrizFxT,4,64,399,16
mmPosix,4,64,975,16
matrizFxC,4,128,1427,16
matrizFxT,4,128,1421,16
mmPosix,4,128,1990,16
matrizFxC,4,256,8940,16
matrizFxT,4,256,8998,16
mmPosix,4,256,10832,16
matrizFxC,4,512,99681,16
matrizFxT,4,512,70581,16
mmPosix,4,512,101159,16
matrizFxC,4,1024,1370977,16
matrizFxT,4,1024,576422,16
mmPosix,4,1024,1384835,16
matrizFxC,8,64,424,16
matrizFxT,8,64,546,16
mmPosix,8,64,572,16
matrizFxC,8,128,942,16
matrizFxT,8,128,815,16
mmPosix,8,128,1091,16
matrizFxC,8,256,4837,16
matrizFxT,8,256,4595,16
mmPosix,8,256,5545,16
matrizFxC,8,512,61255,16
matrizFxT,8,512,36743,16
mmPosix,8,512,54060,16
matrizFxC,8,1024,633691,16
matrizFxT,8,1024,302922,16
mmPosix,8,1024,708231,16
matrizFxC,16,64,512,16
matrizFxT,16,64,457,16
mmPosix,16,64,591,16
matrizFxC,16,128,818,16
matrizFxT,16,128,626,16
mmPosix,16,128,755,16
matrizFxC,16,256,2836,16
matrizFxT,16,256,2765,16
mmPosix,16,256,3080,16
matrizFxC,16,512,27318,16
matrizFxT,16,512,19410,16
mmPosix,16,512,27833,16
matrizFxC,16,1024,328330,16
matrizFxT,16,1024,158789,16
mmPosix,16,1024,360452,16
matrizFxC,32,64,680,16
matrizFxT,32,64,654,16
mmPosix,32,64,993,16
matrizFxC,32,128,901,16
matrizFxT,32,128,873,16
mmPosix,32,128,1151,16
matrizFxC,32,256,2727,16
matrizFxT,32,256,2317,16
mmPosix,32,256,2807,16
matrizFxC,32,512,24154,16
matrizFxT,32,512,14553,16
mmPosix,32,512,24267,16
matrizFxC,32,1024,226337,16
matrizFxT,32,1024,103081,16
mmPosix,32,1024,271211,16
matrizFxC,1,64,565,17
matrizFxT,1,64,567,17
mmPosix,1,64,1139,17
matrizFxC,1,128,4116,17
matrizFxT,1,128,3899,17
mmPosix,1,128,5167,17
matrizFxC,1,256,32639,17
matrizFxT,1,256,32622,17
mmPosix,1,256,38157,17
matrizFxC,1,512,526321,17
matrizFxT,1,512,273317,17
mmPosix,1,512,428575,17
matrizFxC,1,1024,5200264,17
matrizFxT,1,1024,2229033,17
mmPosix,1,1024,5230711,17
matrizFxC,2,64,501,17
matrizFxT,2,64,329,17
mmPosix,2,64,952,17
matrizFxC,2,128,2402,17
matrizFxT,2,128,2423,17
mmPosix,2,128,3152,17
matrizFxC,2,256,16739,17
matrizFxT,2,256,16793,17
mmPosix,2,256,19537,17
matrizFxC,2,512,208663,17
matrizFxT,2,512,138870,17
mmPosix,2,512,209176,17
matrizFxC,2,1024,2715033,17
matrizFxT,2,1024,1122515,17
mmPosix,2,1024,2741927,17
matrizFxC,4,64,483,17
matrizFxT,4,64,405,17
mmPosix,4,64,1074,17
matrizFxC,4,128,1488,17
matrizFxT,4,128,1307,17
mmPosix,4,128,1708,17
matrizFxC,4,256,10047,17
matrizFxT,4,256,8571,17
mmPosix,4,256,10620,17
matrizFxC,4,512,97902,17
matrizFxT,4,512,71742,17
mmPosix,4,512,102620,17
matrizFxC,4,1024,1374590,17
matrizFxT,4,1024,575725,17
mmPosix,4,1024,1398074,17
matrizFxC,8,64,384,17
matrizFxT,8,64,554,17
mmPosix,8,64,1365,17
matrizFxC,8,128,924,17
matrizFxT,8,128,883,17
mmPosix,8,128,983,17
matrizFxC,8,256,4927,17
matrizFxT,8,256,4851,17
mmPosix,8,256,5436,17
matrizFxC,8,512,63132,17
matrizFxT,8,512,35746,17
mmPosix,8,512,61270,17
matrizFxC,8,1024,695941,17
matrizFxT,8,1024,304302,17
mmPosix,8,1024,703963,17
matrizFxC,16,64,485,17
matrizFxT,16,64,542,17
mmPosix,16,64,661,17
matrizFxC,16,128,1007,17
matrizFxT,16,128,723,17
mmPosix,16,128,880,17
matrizFxC,16,256,2870,17
matrizFxT,16,256,2874,17
mmPosix,16,256,3146,17
matrizFxC,16,512,32379,17
matrizFxT,16,512,19589,17
mmPosix,16,512,28040,17
matrizFxC,16,1024,361098,17
matrizFxT,16,1024,158873,17
mmPosix,16,1024,360929,17
matrizFxC,32,64,673,17
matrizFxT,32,64,648,17
mmPosix,32,64,960,17
matrizFxC,32,128,908,17
matrizFxT,32,128,877,17
mmPosix,32,128,1130,17
matrizFxC,32,256,2694,17
matrizFxT,32,256,2257,17
mmPosix,32,256,2776,17
matrizFxC,32,512,23265,17
matrizFxT,32,512,13907,17
mmPosix,32,512,24646,17
matrizFxC,32,1024,269324,17
matrizFxT,32,1024,103699,17
mmPosix,32,1024,223744,17
matrizFxC,1,64,580,18
matrizFxT,1,64,591,18
mmPosix,1,64,1139,18
matrizFxC,1,128,4174,18
matrizFxT,1,128,3890,18
mmPosix,1,128,5034,18
matrizFxC,1,256,33006,18
matrizFxT,1,256,33090,18
mmPosix,1,256,37926,18
matrizFxC,1,512,435644,18
matrizFxT,1,512,272946,18
mmPosix,1,512,407039,18
matrizFxC,1,1024,5675153,18
matrizFxT,1,1024,2215648,18
mmPosix,1,1024,5304694,18
matrizFxC,2,64,611,18
matrizFxT,2,64,516,18
mmPosix,2,64,579,18
matrizFxC,2,128,2444,18
matrizFxT,2,128,2247,18
mmPosix,2,128,2941,18
matrizFxC,2,256,17072,18
matrizFxT,2,256,16908,18
mmPosix,2,256,19817,18
matrizFxC,2,512,206523,18
matrizFxT,2,512,138997,18
mmPosix,2,512,204155,18
matrizFxC,2,1024,2590210,18
matrizFxT,2,1024,1122354,18
mmPosix,2,1024,2614446,18
matrizFxC,4,64,407,18
matrizFxT,4,64,407,18
mmPosix,4,64,961,18
matrizFxC,4,128,1381,18
matrizFxT,4,128,1408,18
mmPosix,4,128,2079,18
matrizFxC,4,256,8831,18
matrizFxT,4,256,8673,18
mmPosix,4,256,10455,18
matrizFxC,4,512,104295,18
matrizFxT,4,512,70822,18
mmPosix,4,512,103712,18
matrizFxC,4,1024,1392490,18
matrizFxT,4,1024,572826,18
mmPosix,4,1024,1398504,18
matrizFxC,8,64,378,18
matrizFxT,8,64,406,18
mmPosix,8,64,593,18
matrizFxC,8,128,831,18
matrizFxT,8,128,749,18
mmPosix,8,128,1157,18
matrizFxC,8,256,4903,18
matrizFxT,8,256,4983,18
mmPosix,8,256,5490,18
matrizFxC,8,512,54321,18
matrizFxT,8,512,37127,18
mmPosix,8,512,52234,18
matrizFxC,8,1024,703131,18
matrizFxT,8,1024,301677,18
mmPosix,8,1024,704147,18
matrizFxC,16,64,2092,18
matrizFxT,16,64,480,18
mmPosix,16,64,658,18
matrizFxC,16,128,725,18
matrizFxT,16,128,1113,18
mmPosix,16,128,2150,18
matrizFxC,16,256,3764,18
matrizFxT,16,256,2832,18
mmPosix,16,256,3062,18
matrizFxC,16,512,27198,18
matrizFxT,16,512,19671,18
mmPosix,16,512,27674,18
matrizFxC,16,1024,328441,18
matrizFxT,16,1024,158266,18
mmPosix,16,1024,338247,18
matrizFxC,32,64,1028,18
matrizFxT,32,64,681,18
mmPosix,32,64,1042,18
matrizFxC,32,128,902,18
matrizFxT,32,128,887,18
mmPosix,32,128,1181,18
matrizFxC,32,256,2746,18
matrizFxT,32,256,2327,18
mmPosix,32,256,2800,18
matrizFxC,32,512,24163,18
matrizFxT,32,512,13809,18
mmPosix,32,512,23987,18
matrizFxC,32,1024,253395,18
matrizFxT,32,1024,102966,18
mmPosix,32,1024,276905,18
matrizFxC,1,64,502,19
matrizFxT,1,64,551,19
mmPosix,1,64,888,19
matrizFxC,1,128,4117,19
matrizFxT,1,128,4078,19
mmPosix,1,128,5263,19
matrizFxC,1,256,32687,19
matrizFxT,1,256,33410,19
mmPosix,1,256,38432,19
matrizFxC,1,512,514067,19
matrizFxT,1,512,272671,19
mmPosix,1,512,419396,19
matrizFxC,1,1024,5011269,19
matrizFxT,1,1024,2218634,19
mmPosix,1,1024,5346763,19
matrizFxC,2,64,550,19
matrizFxT,2,64,582,19
mmPosix,2,64,866,19
matrizFxC,2,128,2282,19
matrizFxT,2,128,2275,19
mmPosix,2,128,2956,19
matrizFxC,2,256,17230,19
matrizFxT,2,256,17477,19
mmPosix,2,256,20033,19
matrizFxC,2,512,312108,19
matrizFxT,2,512,140233,19
mmPosix,2,512,205194,19
matrizFxC,2,1024,2597116,19
matrizFxT,2,1024,1121547,19
mmPosix,2,1024,2743226,19
matrizFxC,4,64,388,19
matrizFxT,4,64,402,19
mmPosix,4,64,1275,19
matrizFxC,4,128,1371,19
matrizFxT,4,128,1274,19
mmPosix,4,128,1646,19
matrizFxC,4,256,9078,19
matrizFxT,4,256,9073,19
mmPosix,4,256,10785,19
matrizFxC,4,512,101181,19
matrizFxT,4,512,70705,19
mmPosix,4,512,103507,19
matrizFxC,4,1024,1384415,19
matrizFxT,4,1024,576216,19
mmPosix,4,1024,1397974,19
matrizFxC,8,64,408,19
matrizFxT,8,64,387,19
mmPosix,8,64,631,19
matrizFxC,8,128,951,19
matrizFxT,8,128,933,19
mmPosix,8,128,1082,19
matrizFxC,8,256,4942,19
matrizFxT,8,256,4873,19
mmPosix,8,256,5621,19
matrizFxC,8,512,51068,19
matrizFxT,8,512,37194,19
mmPosix,8,512,52752,19
matrizFxC,8,1024,691695,19
matrizFxT,8,1024,300189,19
mmPosix,8,1024,700968,19
matrizFxC,16,64,555,19
matrizFxT,16,64,566,19
mmPosix,16,64,879,19
matrizFxC,16,128,759,19
matrizFxT,16,128,597,19
mmPosix,16,128,864,19
matrizFxC,16,256,2809,19
matrizFxT,16,256,2610,19
mmPosix,16,256,3151,19
matrizFxC,16,512,27044,19
matrizFxT,16,512,19850,19
mmPosix,16,512,27485,19
matrizFxC,16,1024,360039,19
matrizFxT,16,1024,158554,19
mmPosix,16,1024,361910,19
matrizFxC,32,64,693,19
matrizFxT,32,64,644,19
mmPosix,32,64,992,19
matrizFxC,32,128,882,19
matrizFxT,32,128,851,19
mmPosix,32,128,1190,19
matrizFxC,32,256,2678,19
matrizFxT,32,256,2350,19
mmPosix,32,256,2862,19
matrizFxC,32,512,39049,19
matrizFxT,32,512,13770,19
mmPosix,32,512,24013,19
matrizFxC,32,1024,259386,19
matrizFxT,32,1024,104020,19
mmPosix,32,1024,282996,19
matrizFxC,1,64,593,20
matrizFxT,1,64,560,20
mmPosix,1,64,1118,20
matrizFxC,1,128,4321,20
matrizFxT,1,128,3988,20
mmPosix,1,128,5299,20
matrizFxC,1,256,33160,20
matrizFxT,1,256,33531,20
mmPosix,1,256,38735,20
matrizFxC,1,512,428345,20
matrizFxT,1,512,273285,20
mmPosix,1,512,432389,20
matrizFxC,1,1024,5331514,20
matrizFxT,1,1024,2215469,20
mmPosix,1,1024,5402696,20
matrizFxC,2,64,341,20
matrizFxT,2,64,567,20
mmPosix,2,64,893,20
matrizFxC,2,128,2139,20
matrizFxT,2,128,2093,20
mmPosix,2,128,2698,20
matrizFxC,2,256,16588,20
matrizFxT,2,256,16794,20
mmPosix,2,256,19104,20
matrizFxC,2,512,194124,20
matrizFxT,2,512,137426,20
mmPosix,2,512,208614,20
matrizFxC,2,1024,2635296,20
matrizFxT,2,1024,1117897,20
mmPosix,2,1024,2743092,20
matrizFxC,4,64,395,20
matrizFxT,4,64,281,20
mmPosix,4,64,976,20
matrizFxC,4,128,1339,20
matrizFxT,4,128,1306,20
mmPosix,4,128,1638,20
matrizFxC,4,256,8889,20
matrizFxT,4,256,8704,20
mmPosix,4,256,10435,20
matrizFxC,4,512,101595,20
matrizFxT,4,512,70557,20
mmPosix,4,512,104154,20
matrizFxC,4,1024,1374850,20
matrizFxT,4,1024,572422,20
mmPosix,4,1024,1389041,20
matrizFxC,8,64,400,20
matrizFxT,8,64,665,20
mmPosix,8,64,867,20
matrizFxC,8,128,771,20
matrizFxT,8,128,804,20
mmPosix,8,128,1134,20
matrizFxC,8,256,4754,20
matrizFxT,8,256,5000,20
mmPosix,8,256,5614,20
matrizFxC,8,512,52135,20
